iter	CrossEntropy
0	0.5434991237
1	0.4545596603
2	0.3980086326
3	0.3609804515
4	0.3365401138
5	0.3203723915
6	0.3097484786
7	0.3027547798
8	0.2981665932
9	0.295236514
10	0.2932684448
11	0.2920002687
12	0.2911420994
13	0.2905844485
14	0.2901995281
15	0.289847917
16	0.2896232135
17	0.2894192642
18	0.2892535556
19	0.289135054
20	0.2889759301
21	0.2888889223
22	0.2887698108
23	0.2886540121
24	0.2885453817
25	0.2884533183
26	0.2883900099
27	0.2883243776
28	0.2882599194
29	0.2881747793
30	0.2881267316
31	0.2880534668
32	0.287979292
33	0.2879335095
34	0.2878855735
35	0.2878176584
36	0.2877268752
37	0.2876561337
38	0.287601069
39	0.2875466811
40	0.2874798363
41	0.2874409025
42	0.2873869904
43	0.2873536389
44	0.2873218092
45	0.2872839559
46	0.2872455654
47	0.2872034714
48	0.287170318
49	0.2871296505
50	0.2870701164
51	0.2870342538
52	0.286961832
53	0.2869159683
54	0.2868619987
55	0.286798508
56	0.2867281874
57	0.2866874926
58	0.2866371952
59	0.2866058067
60	0.2865816888
61	0.286551328
62	0.2865227478
63	0.286486718
64	0.2864544478
65	0.2864058931
66	0.2863814518
67	0.2863601276
68	0.2863448238
69	0.2862677902
70	0.2862365759
71	0.2862150294
72	0.2861794196
73	0.28615306
74	0.286125086
75	0.2860990079
76	0.286073954
77	0.2860364114
78	0.2859832981
79	0.2859558087
80	0.285919429
81	0.2858763772
82	0.2858500825
83	0.2858296086
84	0.2858077484
85	0.2857868448
86	0.2857367988
87	0.285716224
88	0.285694344
89	0.2856429271
90	0.2856060061
91	0.2855945472
92	0.2855736067
93	0.2855514244
94	0.2855093993
95	0.2854609246
96	0.2854475573
97	0.2854306573
98	0.2853926651
99	0.2853605643
100	0.2853426297
101	0.2852971625
102	0.2852832555
103	0.2852667155
104	0.2852452557
105	0.2852236659
106	0.2852048467
107	0.285174195
108	0.2851013829
109	0.2850837688
110	0.285045907
111	0.2850036977
112	0.2849894186
113	0.2849569102
114	0.2849268919
115	0.2849051908
116	0.2848639393
117	0.28484296
118	0.2848115684
119	0.2847599632
120	0.2847376298
121	0.2847195586
122	0.2846948247
123	0.2846620138
124	0.284649568
125	0.2846299251
126	0.2846082632
127	0.2845900564
128	0.2845708601
129	0.2845570282
130	0.28454167
131	0.2845293538
132	0.2845053579
133	0.2844862998
134	0.284440637
135	0.28442003
136	0.2843986396
137	0.2843805494
138	0.2843679626
139	0.2843559533
140	0.2843367817
141	0.2843143148
142	0.2842874252
143	0.284270126
144	0.2842528837
145	0.2842240546
146	0.2841908628
147	0.2841781101
148	0.2841678665
149	0.2841575473
