iter	Passed	Remaining
0	8827	1315250
1	13983	1034759
2	20698	1014229
3	27251	994687
4	33123	960578
5	39067	937630
6	46258	944990
7	52458	931135
8	58068	909739
9	64312	900378
10	70333	888761
11	75539	868705
12	80609	849495
13	86379	839117
14	92323	830915
15	97470	816314
16	102705	803517
17	108297	794184
18	113182	780366
19	118115	767753
20	122871	754780
21	127662	742761
22	132379	730963
23	137633	722578
24	142598	712994
25	147276	702396
26	151957	692251
27	157456	686061
28	162813	679324
29	168379	673517
30	172720	663023
31	177825	655731
32	183562	650813
33	189128	645263
34	193627	636203
35	198147	627467
36	202578	618687
37	207631	611965
38	212812	605698
39	217734	598769
40	222563	591694
41	227516	585043
42	232036	577392
43	236893	570698
44	241905	564446
45	246843	558080
46	251277	550672
47	255898	543783
48	260668	537295
49	265755	531510
50	270520	525127
51	275926	520014
52	280852	514012
53	285268	507143
54	289707	500403
55	294181	493805
56	298828	487561
57	303229	480984
58	307634	474487
59	313120	469680
60	318306	464414
61	322655	457963
62	326940	451488
63	331510	445466
64	336749	440365
65	341287	434366
66	346005	428633
67	351046	423320
68	355784	417659
69	360272	411739
70	365015	406144
71	369966	400796
72	374589	395114
73	379271	389522
74	384224	384224
75	388939	378704
76	393228	372801
77	397542	366962
78	401831	361139
79	406052	355296
80	410262	349482
81	414563	343784
82	418959	338196
83	423406	332676
84	427923	327235
85	432298	321710
86	437285	316654
87	442989	312106
88	448233	307216
89	452718	301812
90	457128	296379
91	461491	290940
92	466194	285731
93	471038	280618
94	475381	275220
95	479665	269811
96	484100	264508
97	489610	259793
98	494310	254644
99	498713	249356
100	503367	244207
101	508236	239170
102	512537	233876
103	517305	228808
104	521882	223664
105	526349	218484
106	531183	213466
107	535553	208270
108	539899	203081
109	544396	197962
110	548956	192876
111	553780	187889
112	558462	182859
113	562926	177766
114	567424	172694
115	571731	167576
116	576354	162561
117	580751	157491
118	585620	152556
119	590079	147519
120	595078	142622
121	599472	137583
122	603894	132562
123	608605	127610
124	613105	122621
125	617513	117621
126	622610	112756
127	627002	107766
128	632076	102896
129	636404	97908
130	641227	93002
131	645641	88042
132	650082	83093
133	655114	78222
134	659486	73276
135	663837	68336
136	668299	63415
137	672670	58493
138	677095	53583
139	681664	48690
140	686135	43795
141	691223	38942
142	696308	34085
143	701968	29248
144	707560	24398
145	712648	19524
146	717991	14652
147	722966	9769
148	728013	4885
149	732812	0
